image_name,dataset_name,model_name,dice_score
cropped_br4_image24prime.png,binrushed,globalVal,0.7550790905952454
cropped_br4_image31prime.png,binrushed,globalVal,0.9691898822784424
cropped_br2_image44prime.png,binrushed,globalVal,0.9257868528366088
cropped_br1_image27prime.png,binrushed,globalVal,0.8799285888671875
cropped_br4_image40prime.png,binrushed,globalVal,0.779217004776001
cropped_br1_image17prime.png,binrushed,globalVal,0.9246514439582824
cropped_br1_image20prime.png,binrushed,globalVal,0.7114096283912659
cropped_br4_image7prime.png,binrushed,globalVal,0.9044272899627686
cropped_br2_image36prime.png,binrushed,globalVal,0.8151481747627258
cropped_br3_image22prime.png,binrushed,sk_binrushed,0.8937911987304688
cropped_br2_image38prime.png,binrushed,sk_binrushed,0.939876139163971
cropped_br1_image12prime.png,binrushed,sk_binrushed,0.9475879669189452
cropped_br2_image9prime.png,binrushed,sk_binrushed,0.9061264395713806
cropped_br4_image50prime.png,binrushed,sk_binrushed,0.8863811492919922
cropped_br2_image17prime.png,binrushed,sk_binrushed,0.938480794429779
cropped_br1_image40prime.png,binrushed,sk_binrushed,0.762656569480896
cropped_br3_image37prime.png,binrushed,sk_binrushed,0.8723164200782776
cropped_br3_image41prime.png,binrushed,sk_binrushed,0.922362208366394
cropped_br1_image6prime.png,binrushed,sk_binrushed,0.8050399422645569
cropped_br1_image31prime.png,binrushed,sk_binrushed,0.974656581878662
cropped_br4_image24prime.png,binrushed,sk_binrushed,0.8596934676170349
cropped_br4_image31prime.png,binrushed,sk_binrushed,0.9342201948165894
cropped_br2_image44prime.png,binrushed,sk_binrushed,0.9460305571556092
cropped_br1_image27prime.png,binrushed,sk_binrushed,0.9234886169433594
cropped_br4_image40prime.png,binrushed,sk_binrushed,0.8009493947029114
cropped_br1_image17prime.png,binrushed,sk_binrushed,0.9368825554847716
cropped_br1_image20prime.png,binrushed,sk_binrushed,0.8728517293930054
cropped_br4_image7prime.png,binrushed,sk_binrushed,0.8890256285667419
cropped_br2_image36prime.png,binrushed,sk_binrushed,0.8822165727615356
cropped_br3_image22prime.png,binrushed,sk_chaksu,0.5664734840393066
cropped_br2_image38prime.png,binrushed,sk_chaksu,0.9186950922012328
cropped_br1_image12prime.png,binrushed,sk_chaksu,0.8310599327087402
cropped_br2_image9prime.png,binrushed,sk_chaksu,0.8605223298072815
cropped_br4_image50prime.png,binrushed,sk_chaksu,0.8131399750709534
cropped_br2_image17prime.png,binrushed,sk_chaksu,0.9370871186256408
cropped_br1_image40prime.png,binrushed,sk_chaksu,0.5188688039779663
cropped_br3_image37prime.png,binrushed,sk_chaksu,0.8667408227920532
cropped_br3_image41prime.png,binrushed,sk_chaksu,0.8154552578926086
cropped_br1_image6prime.png,binrushed,sk_chaksu,0.3742500245571136
cropped_br1_image31prime.png,binrushed,sk_chaksu,0.8834547996520996
cropped_br4_image24prime.png,binrushed,sk_chaksu,0.6261407732963562
cropped_br4_image31prime.png,binrushed,sk_chaksu,0.9280047416687012
cropped_br2_image44prime.png,binrushed,sk_chaksu,0.8305277228355408
cropped_br1_image27prime.png,binrushed,sk_chaksu,0.8382613062858582
cropped_br4_image40prime.png,binrushed,sk_chaksu,0.5846810936927795
cropped_br1_image17prime.png,binrushed,sk_chaksu,0.7770746946334839
cropped_br1_image20prime.png,binrushed,sk_chaksu,0.5751613974571228
cropped_br4_image7prime.png,binrushed,sk_chaksu,0.7717615962028503
cropped_br2_image36prime.png,binrushed,sk_chaksu,0.7122476100921631
cropped_br3_image22prime.png,binrushed,sk_drishti,0.4645650088787079
cropped_br2_image38prime.png,binrushed,sk_drishti,0.798010528087616
cropped_br1_image12prime.png,binrushed,sk_drishti,0.6589097380638123
cropped_br2_image9prime.png,binrushed,sk_drishti,0.7076661586761475
cropped_br4_image50prime.png,binrushed,sk_drishti,0.7373319268226624
cropped_br2_image17prime.png,binrushed,sk_drishti,0.8159757852554321
cropped_br1_image40prime.png,binrushed,sk_drishti,0.3672158420085907
cropped_br3_image37prime.png,binrushed,sk_drishti,0.6796926259994507
cropped_br3_image41prime.png,binrushed,sk_drishti,0.5099299550056458
cropped_br1_image6prime.png,binrushed,sk_drishti,0.2465664595365524
cropped_br1_image31prime.png,binrushed,sk_drishti,0.7884687781333923
cropped_br4_image24prime.png,binrushed,sk_drishti,0.0963901653885841
cropped_br4_image31prime.png,binrushed,sk_drishti,0.7830744981765747
